"decade","word","gender","count"
1920,"boys","male",4710
1920,"bride","female",621
1920,"brides","female",39
1920,"dame","female",310
1920,"dames","female",46
1920,"fella","male",74
1920,"fellas","male",25
1920,"female","female",552
1920,"females","female",102
1920,"feminine","female",484
1920,"femininity","female",42
1920,"gal","female",228
1920,"gals","female",55
1920,"gent","male",88
1920,"gentleman","male",1933
1920,"gentlemen","male",1187
1920,"gentlewoman","female",17
1920,"gentlewomen","female",20
1920,"gents","male",76
1920,"girl","female",11117
1920,"girls","female",4844
1920,"guy","male",812
1920,"guys","male",127
1920,"he","male",275761
1920,"her","female",129281
1920,"hers","female",979
1920,"herself","female",6025
1920,"him","male",87154
1920,"himself","male",15560
1920,"his","male",190314
1920,"king","male",4863
1920,"kings","male",580
1920,"lad","male",832
1920,"ladies","female",1509
1920,"lads","male",265
1920,"lady","female",4877
1920,"lass","female",65
1920,"lassie","female",45
1920,"madam","female",584
1920,"maiden","female",368
1920,"maidens","female",77
1920,"male","male",669
1920,"males","male",123
1920,"man","male",40571
1920,"manly","male",171
1920,"masculine","male",227
1920,"masculinity","male",15
1920,"men","male",25437
1920,"miss","female",8660
1920,"missus","female",35
1920,"mister","male",407
1920,"mr","male",33891
1920,"mrs","female",15476
1920,"ms","female",223
1920,"prince","male",2266
1920,"princes","male",186
1920,"princess","female",942
1920,"princesses","female",38
1920,"queen","female",1921
1920,"queens","female",321
1920,"she","female",123286
1920,"sir","male",5499
1920,"sirs","male",270
1920,"woman","female",11344
1920,"women","female",10184
1930,"bloke","male",22
1930,"blokes","male",5
1930,"boy","male",9069
1930,"boys","male",5731
1930,"bride","female",582
1930,"brides","female",80
1930,"dame","female",611
1930,"dames","female",126
1930,"fella","male",398
1930,"fellas","male",269
1930,"female","female",635
1930,"females","female",151
1930,"feminine","female",312
1930,"femininity","female",19
1930,"gal","female",378
1930,"gals","female",65
1930,"gent","male",61
1930,"gentleman","male",1762
1930,"gentlemen","male",2245
1930,"gentlewoman","female",16
1930,"gentlewomen","female",4
1930,"gents","male",60
1930,"girl","female",10936
1930,"girls","female",4301
1930,"guy","male",2508
1930,"guys","male",818
1930,"he","male",292859
1930,"her","female",127425
1930,"hers","female",964
1930,"herself","female",5821
1930,"him","male",90762
1930,"himself","male",14410
1930,"his","male",182029
1930,"king","male",4502
1930,"kings","male",507
1930,"lad","male",717
1930,"ladies","female",1767
1930,"lads","male",160
1930,"lady","female",5632
1930,"lass","female",81
1930,"lassie","female",55
1930,"madam","female",732
1930,"maiden","female",136
1930,"maidens","female",39
1930,"male","male",687
1930,"males","male",155
1930,"man","male",40669
1930,"manly","male",94
1930,"masculine","male",185
1930,"masculinity","male",15
1930,"men","male",25622
1930,"miss","female",11545
1930,"missus","female",82
1930,"mister","male",682
1930,"mr","male",41860
1930,"mrs","female",15486
1930,"ms","female",645
1930,"prince","male",1796
1930,"princes","male",205
1930,"princess","female",795
1930,"princesses","female",55
1930,"queen","female",1880
1930,"queens","female",329
1930,"she","female",131617
1930,"sir","male",11374
1930,"sirs","male",288
1930,"woman","female",11664
1930,"women","female",8917
1940,"bloke","male",22
1940,"blokes","male",8
1940,"boy","male",9514
1940,"boys","male",5548
1940,"bride","female",553
1940,"brides","female",78
1940,"dame","female",469
1940,"dames","female",102
1940,"fella","male",415
1940,"fellas","male",285
1940,"female","female",631
1940,"females","female",161
1940,"feminine","female",309
1940,"femininity","female",24
1940,"gal","female",234
1940,"gals","female",55
1940,"gent","male",72
1940,"gentleman","male",1290
1940,"gentlemen","male",1678
1940,"gentlewoman","female",11
1940,"gentlewomen","female",1
1940,"gents","male",50
1940,"girl","female",9589
1940,"girls","female",3420
1940,"guy","male",2614
1940,"guys","male",881
1940,"he","male",298736
1940,"her","female",116974
1940,"hers","female",790
1940,"herself","female",5263
1940,"him","male",87154
1940,"himself","male",14235
1940,"his","male",176818
1940,"king","male",3495
1940,"kings","male",363
1940,"lad","male",553
1940,"ladies","female",1538
1940,"lads","male",182
1940,"lady","female",4101
1940,"lass","female",75
1940,"lassie","female",86
1940,"madam","female",648
1940,"maiden","female",164
1940,"maidens","female",56
1940,"male","male",689
1940,"males","male",160
1940,"man","male",38618
1940,"manly","male",81
1940,"masculine","male",173
1940,"masculinity","male",22
1940,"men","male",25420
1940,"miss","female",8991
1940,"missus","female",55
1940,"mister","male",920
1940,"mr","male",35138
1940,"mrs","female",14247
1940,"ms","female",434
1940,"prince","male",1068
1940,"princes","male",181
1940,"princess","female",545
1940,"princesses","female",29
1940,"queen","female",1555
1940,"queens","female",373
1940,"she","female",125858
1940,"sir","male",9372
1940,"sirs","male",290
1940,"woman","female",9811
1940,"women","female",7958
1950,"bloke","male",24
1950,"blokes","male",9
1950,"boy","male",11354
1950,"boys","male",5460
1950,"bride","female",587
1950,"brides","female",62
1950,"dame","female",508
1950,"dames","female",109
1950,"fella","male",417
1950,"fellas","male",494
1950,"female","female",859
1950,"females","female",174
1950,"feminine","female",295
1950,"femininity","female",33
1950,"gal","female",374
1950,"gals","female",79
1950,"gent","male",47
1950,"gentleman","male",1031
1950,"gentlemen","male",1850
1950,"gentlewoman","female",5
1950,"gentlewomen","female",6
1950,"gents","male",33
1950,"girl","female",10880
1950,"girls","female",4722
1950,"guy","male",2945
1950,"guys","male",1165
1950,"he","male",314731
1950,"her","female",110763
1950,"hers","female",771
1950,"herself","female",4971
1950,"him","male",90091
1950,"himself","male",15376
1950,"his","male",180797
1950,"king","male",4928
1950,"kings","male",534
1950,"lad","male",393
1950,"ladies","female",1731
1950,"lads","male",105
1950,"lady","female",4051
1950,"lass","female",78
1950,"lassie","female",20
1950,"madam","female",951
1950,"maiden","female",205
1950,"maidens","female",54
1950,"male","male",939
1950,"males","male",202
1950,"man","male",41997
1950,"manly","male",101
1950,"masculine","male",133
1950,"masculinity","male",22
1950,"men","male",22886
1950,"miss","female",9597
1950,"missus","female",100
1950,"mister","male",1149
1950,"mr","male",43058
1950,"mrs","female",14332
1950,"ms","female",1204
1950,"prince","male",1204
1950,"princes","male",162
1950,"princess","female",604
1950,"princesses","female",31
1950,"queen","female",1845
1950,"queens","female",434
1950,"she","female",122679
1950,"sir","male",13789
1950,"sirs","male",83
1950,"woman","female",10514
1950,"women","female",7384
1960,"bloke","male",34
1960,"blokes","male",22
1960,"boy","male",12298
1960,"boys","male",4680
1960,"bride","female",379
1960,"brides","female",28
1960,"dame","female",427
1960,"dames","female",79
1960,"fella","male",474
1960,"fellas","male",326
1960,"female","female",999
1960,"females","female",217
1960,"feminine","female",274
1960,"femininity","female",41
1960,"gal","female",155
1960,"gals","female",45
1960,"gent","male",46
1960,"gentleman","male",779
1960,"gentlemen","male",1707
1960,"gentlewoman","female",11
1960,"gentlewomen","female",1
1960,"gents","male",40
1960,"girl","female",10102
1960,"girls","female",4136
1960,"guy","male",2763
1960,"guys","male",1452
1960,"he","male",320442
1960,"her","female",101062
1960,"hers","female",794
1960,"herself","female",4285
1960,"him","male",92792
1960,"himself","male",15116
1960,"his","male",181761
1960,"king","male",4491
1960,"kings","male",430
1960,"lad","male",432
1960,"ladies","female",1587
1960,"lads","male",114
1960,"lady","female",3979
1960,"lass","female",48
1960,"lassie","female",24
1960,"madam","female",526
1960,"maiden","female",278
1960,"maidens","female",76
1960,"male","male",1001
1960,"males","male",202
1960,"man","male",43281
1960,"manly","male",89
1960,"masculine","male",187
1960,"masculinity","male",35
1960,"men","male",19900
1960,"miss","female",8724
1960,"missus","female",54
1960,"mister","male",912
1960,"mr","male",40095
1960,"mrs","female",13851
1960,"ms","female",147
1960,"prince","male",1232
1960,"princes","male",122
1960,"princess","female",646
1960,"princesses","female",17
1960,"queen","female",1853
1960,"queens","female",434
1960,"she","female",113634
1960,"sir","male",13251
1960,"sirs","male",74
1960,"woman","female",9591
1960,"women","female",6565
1970,"bloke","male",45
1970,"blokes","male",19
1970,"boy","male",9622
1970,"boys","male",4124
1970,"bride","female",431
1970,"brides","female",27
1970,"dame","female",249
1970,"dames","female",21
1970,"fella","male",419
1970,"fellas","male",358
1970,"female","female",1256
1970,"females","female",239
1970,"feminine","female",214
1970,"femininity","female",58
1970,"gal","female",175
1970,"gals","female",59
1970,"gent","male",48
1970,"gentleman","male",821
1970,"gentlemen","male",1801
1970,"gentlewoman","female",15
1970,"gentlewomen","female",2
1970,"gents","male",45
1970,"girl","female",9334
1970,"girls","female",3675
1970,"guy","male",4288
1970,"guys","male",2996
1970,"he","male",302805
1970,"her","female",108936
1970,"hers","female",841
1970,"herself","female",4452
1970,"him","male",87647
1970,"himself","male",13497
1970,"his","male",174231
1970,"king","male",4214
1970,"kings","male",465
1970,"lad","male",416
1970,"ladies","female",1729
1970,"lads","male",154
1970,"lady","female",4417
1970,"lass","female",63
1970,"lassie","female",25
1970,"madam","female",402
1970,"maiden","female",163
1970,"maidens","female",67
1970,"male","male",1369
1970,"males","male",251
1970,"man","male",42131
1970,"manly","male",89
1970,"masculine","male",134
1970,"masculinity","male",42
1970,"men","male",17647
1970,"miss","female",7042
1970,"missus","female",89
1970,"mister","male",713
1970,"mr","male",32166
1970,"mrs","female",9591
1970,"ms","female",335
1970,"prince","male",1384
1970,"princes","male",126
1970,"princess","female",585
1970,"princesses","female",34
1970,"queen","female",1690
1970,"queens","female",432
1970,"she","female",119073
1970,"sir","male",12514
1970,"sirs","male",166
1970,"woman","female",11765
1970,"women","female",8267
1980,"bloke","male",15
1980,"blokes","male",11
1980,"boy","male",8299
1980,"boys","male",3624
1980,"bride","female",516
1980,"brides","female",65
1980,"dame","female",229
1980,"dames","female",19
1980,"fella","male",258
1980,"fellas","male",295
1980,"female","female",1578
1980,"females","female",324
1980,"feminine","female",182
1980,"femininity","female",17
1980,"gal","female",187
1980,"gals","female",42
1980,"gent","male",29
1980,"gentleman","male",605
1980,"gentlemen","male",1459
1980,"gentlewoman","female",6
1980,"gentlewomen","female",2
1980,"gents","male",29
1980,"girl","female",7669
1980,"girls","female",3541
1980,"guy","male",6456
1980,"guys","male",5831
1980,"he","male",295946
1980,"her","female",119775
1980,"hers","female",827
1980,"herself","female",5366
1980,"him","male",84743
1980,"himself","male",13129
1980,"his","male",176490
1980,"king","male",5159
1980,"kings","male",477
1980,"lad","male",366
1980,"ladies","female",1533
1980,"lads","male",115
1980,"lady","female",3891
1980,"lass","female",60
1980,"lassie","female",35
1980,"madam","female",258
1980,"maiden","female",175
1980,"maidens","female",37
1980,"male","male",1702
1980,"males","male",391
1980,"man","male",38020
1980,"manly","male",103
1980,"masculine","male",125
1980,"masculinity","male",26
1980,"men","male",15977
1980,"miss","female",5656
1980,"missus","female",54
1980,"mister","male",502
1980,"mr","male",27156
1980,"mrs","female",6808
1980,"ms","female",1020
1980,"prince","male",1694
1980,"princes","male",163
1980,"princess","female",796
1980,"princesses","female",38
1980,"queen","female",1788
1980,"queens","female",437
1980,"she","female",135686
1980,"sir","male",8069
1980,"sirs","male",34
1980,"woman","female",12460
1980,"women","female",10647
1990,"bloke","male",18
1990,"blokes","male",9
1990,"boy","male",10055
1990,"boys","male",4582
1990,"bride","female",439
1990,"brides","female",53
1990,"dame","female",237
1990,"dames","female",15
1990,"fella","male",197
1990,"fellas","male",156
1990,"female","female",2171
1990,"females","female",464
1990,"feminine","female",337
1990,"femininity","female",96
1990,"gal","female",168
1990,"gals","female",42
1990,"gent","male",19
1990,"gentleman","male",613
1990,"gentlemen","male",1081
1990,"gentlewoman","female",8
1990,"gentlewomen","female",1
1990,"gents","male",26
1990,"girl","female",9080
1990,"girls","female",4421
1990,"guy","male",7779
1990,"guys","male",5667
1990,"he","male",298004
1990,"her","female",167520
1990,"hers","female",1104
1990,"herself","female",6508
1990,"him","male",85405
1990,"himself","male",11507
1990,"his","male",179693
1990,"king","male",4050
1990,"kings","male",437
1990,"lad","male",211
1990,"ladies","female",1445
1990,"lads","male",83
1990,"lady","female",3655
1990,"lass","female",59
1990,"lassie","female",42
1990,"madam","female",220
1990,"maiden","female",196
1990,"maidens","female",66
1990,"male","male",2276
1990,"males","male",557
1990,"man","male",35110
1990,"manly","male",101
1990,"masculine","male",235
1990,"masculinity","male",96
1990,"men","male",14006
1990,"miss","female",5605
1990,"missus","female",64
1990,"mister","male",554
1990,"mr","male",17462
1990,"mrs","female",5974
1990,"ms","female",1920
1990,"prince","male",1618
1990,"princes","male",88
1990,"princess","female",925
1990,"princesses","female",58
1990,"queen","female",1922
1990,"queens","female",250
1990,"she","female",182076
1990,"sir","male",7164
1990,"sirs","male",36
1990,"woman","female",15025
1990,"women","female",13497
2000,"bloke","male",50
2000,"blokes","male",20
2000,"boy","male",9678
2000,"boys","male",5282
2000,"bride","female",729
2000,"brides","female",88
2000,"dame","female",308
2000,"dames","female",25
2000,"fella","male",156
2000,"fellas","male",196
2000,"female","female",2442
2000,"females","female",520
2000,"feminine","female",317
2000,"femininity","female",52
2000,"gal","female",206
2000,"gals","female",73
2000,"gent","male",25
2000,"gentleman","male",582
2000,"gentlemen","male",849
2000,"gentlewoman","female",5
2000,"gentlewomen","female",8
2000,"gents","male",28
2000,"girl","female",10804
2000,"girls","female",5630
2000,"guy","male",10310
2000,"guys","male",7522
2000,"he","male",311385
2000,"her","female",194983
2000,"hers","female",1229
2000,"herself","female",7469
2000,"him","male",87448
2000,"himself","male",11394
2000,"his","male",205477
2000,"king","male",4513
2000,"kings","male",439
2000,"lad","male",242
2000,"ladies","female",1647
2000,"lads","male",96
2000,"lady","female",3719
2000,"lass","female",90
2000,"lassie","female",42
2000,"madam","female",235
2000,"maiden","female",189
2000,"maidens","female",42
2000,"male","male",2191
2000,"males","male",566
2000,"man","male",36741
2000,"manly","male",125
2000,"masculine","male",250
2000,"masculinity","male",65
2000,"men","male",14970
2000,"miss","female",5251
2000,"missus","female",61
2000,"mister","male",410
2000,"mr","male",11962
2000,"mrs","female",5192
2000,"ms","female",2142
2000,"prince","male",1435
2000,"princes","male",115
2000,"princess","female",1029
2000,"princesses","female",84
2000,"queen","female",1626
2000,"queens","female",334
2000,"she","female",200360
2000,"sir","male",5959
2000,"sirs","male",28
2000,"woman","female",15148
2000,"women","female",13605
2010,"bloke","male",40
2010,"blokes","male",18
2010,"boy","male",8501
2010,"boys","male",3991
2010,"bride","female",488
2010,"brides","female",69
2010,"dame","female",231
2010,"dames","female",31
2010,"fella","male",163
2010,"fellas","male",145
2010,"female","female",2410
2010,"females","female",420
2010,"feminine","female",304
2010,"femininity","female",44
2010,"gal","female",189
2010,"gals","female",63
2010,"gent","male",33
2010,"gentleman","male",512
2010,"gentlemen","male",677
2010,"gentlewoman","female",6
2010,"gentlewomen","female",1
2010,"gents","male",28
2010,"girl","female",10482
2010,"girls","female",5089
2010,"guy","male",8821
2010,"guys","male",8164
2010,"he","male",299832
2010,"her","female",199012
2010,"hers","female",1242
2010,"herself","female",7523
2010,"him","male",83389
2010,"himself","male",10951
2010,"his","male",192947
2010,"king","male",3798
2010,"kings","male",297
2010,"lad","male",220
2010,"ladies","female",1409
2010,"lads","male",99
2010,"lady","female",3624
2010,"lass","female",89
2010,"lassie","female",24
2010,"madam","female",221
2010,"maiden","female",163
2010,"maidens","female",42
2010,"male","male",2148
2010,"males","male",468
2010,"man","male",31542
2010,"manly","male",104
2010,"masculine","male",145
2010,"masculinity","male",93
2010,"men","male",12345
2010,"miss","female",4467
2010,"missus","female",56
2010,"mister","male",526
2010,"mr","male",12737
2010,"mrs","female",3828
2010,"ms","female",2487
2010,"prince","male",1291
2010,"princes","male",61
2010,"princess","female",885
2010,"princesses","female",119
2010,"queen","female",1935
2010,"queens","female",311
2010,"she","female",209578
2010,"sir","male",4214
2010,"sirs","male",31
2010,"woman","female",13980
2010,"women","female",11395
